pairID,image_link,sentence2,label
7631372276.jpg#4r2e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7631372276.jpg,the men look at clothes,entailment
7631372276.jpg#2r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/7631372276.jpg,There is a man leaving a shop,contradiction
4297523137.jpg#3r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4297523137.jpg,a child using a machine,entailment
30605277.jpg#4r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/30605277.jpg,There are two females.,entailment
4653503824.jpg#2r1c,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4653503824.jpg,Two men sit on a dock and check their cellphones.,entailment
2765029348.jpg#2r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/2765029348.jpg,A man on a bike does a backflip.,entailment
4610461009.jpg#3r1e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4610461009.jpg,A woman walks with her basket.,entailment
1102763701.jpg#3r4e,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1102763701.jpg,A group of people are outside at an event.,entailment
1016887272.jpg#3r4n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/1016887272.jpg,A group of people scaling a cliff.,entailment
316298162.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/316298162.jpg,A group of businessman walking down the road to save petrol charge.,neutral
3297272270.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3297272270.jpg,they are dressed like ballerinas,entailment
146019208.jpg#0r2n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/146019208.jpg,Two men cook pancakes in the mountains.,contradiction
20702864.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/20702864.jpg,Old men are digging for treasure.,contradiction
5220880759.jpg#2r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/5220880759.jpg,Someone is getting ready for work.,neutral
4145119743.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4145119743.jpg,The line is long.,neutral
6848277313.jpg#4r2n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/6848277313.jpg,the man is a farmer,contradiction
4486484038.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4486484038.jpg,A woman crosses a signal for school children.,contradiction
4975536758.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/4975536758.jpg,The boy is scared.,contradiction
3727740053.jpg#0r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3727740053.jpg,Two men are wearing their martial arts uniform.,entailment
3727740053.jpg#1r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3727740053.jpg,There are people kicking each other because they are mad,contradiction
3475111806.jpg#3r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3475111806.jpg,The crowd is waiting for the release of a product.,neutral
6952893010.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/6952893010.jpg,The boats are about to sink.,contradiction
3595412126.jpg#4r1n,https://raw.githubusercontent.com/virginie-do/flickr30k_images_dev_test/master/3595412126.jpg,Two girls are picking flowers by a tree.,contradiction
